global_play_order,unit_number,section_number_global,section_number_in_unit,card_key,card_name,arcana_type,is_symbol_intro,node_number,node_type,node_id,format_code,format_name,anchor_variant,node_phase,cards_involved,cards_to_recall_count,distractor_tier,notes
33,1,5,5,major_03_empress,The Empress,major,True,5,standard,U1-S5-N5,A3,Major/Minor Arcana ID,card_art_grid,standing_skill,major_03_empress,1,n/a,"Major/Minor sorting - visual/structural skill, recurs unchanged every section"
34,1,5,5,major_03_empress,The Empress,major,True,6,standard,U1-S5-N6,B,True/False Talking Point,mixed_card_statements,interleave_review,major_03_empress,1,n/a,True/False statements drawn from the new card plus recently taught cards
35,1,5,5,major_03_empress,The Empress,major,True,7,standard,U1-S5-N7,C,Board Matching,tile_grid,interleave_review,major_03_empress|minor_wands_ace,2,n/a,"Closing review: new card tiled against recently taught cards, grid grows over the course"
36,1,6,6,major_04_emperor,The Emperor,major,True,1,standard,U1-S6-N1,A1,Choose Card From Keywords,keywords,isolation,major_04_emperor|major_02_high_priestess|major_12_hanged_man|major_18_moon,1,easy,First exposure: full keyword list -> card art
37,1,6,6,major_04_emperor,The Emperor,major,True,2,standard,U1-S6-N2,A2,Choose Meaning From Card,card_art_to_description_condensed,isolation,major_04_emperor|major_02_high_priestess|major_12_hanged_man|major_18_moon,1,easy,Reverse direction: card art -> matching description
38,1,6,6,major_04_emperor,The Emperor,major,True,3,standard,U1-S6-N3,A5,Symbol Meaning Match,meaning_phrase_to_symbol,isolation,major_04_emperor,1,easy,New symbol taught: Zodiac Sign - Aries
39,1,6,6,major_04_emperor,The Emperor,major,True,4,standard,U1-S6-N4,A2,Choose Meaning From Card,collated_talking_points,near_context,major_04_emperor|major_03_empress|major_02_high_priestess|major_12_hanged_man,1,easy_plus_one_known,Third text form of the same new card; distractor pool starts folding in one known card once available
40,1,6,6,major_04_emperor,The Emperor,major,True,5,standard,U1-S6-N5,A3,Major/Minor Arcana ID,card_art_grid,standing_skill,major_04_emperor,1,n/a,"Major/Minor sorting - visual/structural skill, recurs unchanged every section"
41,1,6,6,major_04_emperor,The Emperor,major,True,6,standard,U1-S6-N6,B,True/False Talking Point,mixed_card_statements,interleave_review,major_04_emperor,1,n/a,True/False statements drawn from the new card plus recently taught cards
42,1,6,6,major_04_emperor,The Emperor,major,True,7,standard,U1-S6-N7,C,Board Matching,tile_grid,interleave_review,major_04_emperor|major_03_empress,2,n/a,"Closing review: new card tiled against recently taught cards, grid grows over the course"
43,1,7,7,minor_pentacles_ace,Ace of Pentacles,minor,True,1,standard,U1-S7-N1,A1,Choose Card From Keywords,keywords,isolation,minor_pentacles_ace|major_12_hanged_man|major_18_moon|minor_swords_08,1,easy,First exposure: full keyword list -> card art
44,1,7,7,minor_pentacles_ace,Ace of Pentacles,minor,True,2,standard,U1-S7-N2,A2,Choose Meaning From Card,card_art_to_description_condensed,isolation,minor_pentacles_ace|major_12_hanged_man|major_18_moon|minor_swords_08,1,easy,Reverse direction: card art -> matching description
45,1,7,7,minor_pentacles_ace,Ace of Pentacles,minor,True,3,standard,U1-S7-N3,A7,Symbol Selection From Label,label_to_symbol_icon,isolation,minor_pentacles_ace,1,easy,New symbol taught: Suit - Pentacles
46,1,7,7,minor_pentacles_ace,Ace of Pentacles,minor,True,4,standard,U1-S7-N4,A2,Choose Meaning From Card,collated_talking_points,near_context,minor_pentacles_ace|major_04_emperor|major_12_hanged_man|major_18_moon,1,easy_plus_one_known,Third text form of the same new card; distractor pool starts folding in one known card once available
47,1,7,7,minor_pentacles_ace,Ace of Pentacles,minor,True,5,standard,U1-S7-N5,A3,Major/Minor Arcana ID,card_art_grid,standing_skill,minor_pentacles_ace,1,n/a,"Major/Minor sorting - visual/structural skill, recurs unchanged every section"
48,1,7,7,minor_pentacles_ace,Ace of Pentacles,minor,True,6,standard,U1-S7-N6,B,True/False Talking Point,mixed_card_statements,interleave_review,minor_pentacles_ace,1,n/a,True/False statements drawn from the new card plus recently taught cards
49,1,7,7,minor_pentacles_ace,Ace of Pentacles,minor,True,7,standard,U1-S7-N7,C,Board Matching,tile_grid,interleave_review,minor_pentacles_ace|major_04_emperor,2,n/a,"Closing review: new card tiled against recently taught cards, grid grows over the course"
50,1,8,8,major_06_lovers,The Lovers,major,True,1,standard,U1-S8-N1,A1,Choose Card From Keywords,keywords,isolation,major_06_lovers|major_02_high_priestess|major_00_fool|major_16_tower,1,easy,First exposure: full keyword list -> card art
51,1,8,8,major_06_lovers,The Lovers,major,True,2,standard,U1-S8-N2,A2,Choose Meaning From Card,card_art_to_description_condensed,isolation,major_06_lovers|major_02_high_priestess|major_00_fool|major_16_tower,1,easy,Reverse direction: card art -> matching description
52,1,8,8,major_06_lovers,The Lovers,major,True,3,standard,U1-S8-N3,A4,Symbol Identification,card_art_to_symbol_name,isolation,major_06_lovers,1,easy,New symbol taught: Zodiac Sign - Gemini
53,1,8,8,major_06_lovers,The Lovers,major,True,4,standard,U1-S8-N4,A2,Choose Meaning From Card,collated_talking_points,near_context,major_06_lovers|minor_pentacles_ace|major_02_high_priestess|major_00_fool,1,easy_plus_one_known,Third text form of the same new card; distractor pool starts folding in one known card once available
54,1,8,8,major_06_lovers,The Lovers,major,True,5,standard,U1-S8-N5,A3,Major/Minor Arcana ID,card_art_grid,standing_skill,major_06_lovers,1,n/a,"Major/Minor sorting - visual/structural skill, recurs unchanged every section"
55,1,8,8,major_06_lovers,The Lovers,major,True,6,standard,U1-S8-N6,B,True/False Talking Point,mixed_card_statements,interleave_review,major_06_lovers,1,n/a,True/False statements drawn from the new card plus recently taught cards
56,1,8,8,major_06_lovers,The Lovers,major,True,7,standard,U1-S8-N7,C,Board Matching,tile_grid,interleave_review,major_06_lovers|minor_pentacles_ace,2,n/a,"Closing review: new card tiled against recently taught cards, grid grows over the course"
57,1,8,RECAP,,Unit 1 Recap,mixed,False,1,unit_recap,U1-S8-UNIT_RECAP-N1,C,Board Matching,tile_grid,unit_recap,major_00_fool|minor_cups_ace|major_01_magician|minor_wands_ace|major_03_empress|major_04_emperor|minor_pentacles_ace|major_06_lovers,8,n/a,"End-of-unit checkpoint: boards every card from Unit 1 against each other, no new card introduced"
58,2,9,1,minor_swords_ace,Ace of Swords,minor,True,1,standard,U2-S9-N1,A1,Choose Card From Keywords,keywords,isolation,minor_swords_ace|major_12_hanged_man|major_16_tower|major_18_moon,1,easy,First exposure: full keyword list -> card art
59,2,9,1,minor_swords_ace,Ace of Swords,minor,True,2,standard,U2-S9-N2,A2,Choose Meaning From Card,card_art_to_description_condensed,isolation,minor_swords_ace|major_12_hanged_man|major_16_tower|major_18_moon,1,easy,Reverse direction: card art -> matching description
60,2,9,1,minor_swords_ace,Ace of Swords,minor,True,3,standard,U2-S9-N3,A5,Symbol Meaning Match,meaning_phrase_to_symbol,isolation,minor_swords_ace,1,easy,New symbol taught: Suit - Swords
61,2,9,1,minor_swords_ace,Ace of Swords,minor,True,4,standard,U2-S9-N4,A2,Choose Meaning From Card,collated_talking_points,near_context,minor_swords_ace|major_06_lovers|major_12_hanged_man|major_16_tower,1,easy_plus_one_known,Third text form of the same new card; distractor pool starts folding in one known card once available
62,2,9,1,minor_swords_ace,Ace of Swords,minor,True,5,standard,U2-S9-N5,A3,Major/Minor Arcana ID,card_art_grid,standing_skill,minor_swords_ace,1,n/a,"Major/Minor sorting - visual/structural skill, recurs unchanged every section"
63,2,9,1,minor_swords_ace,Ace of Swords,minor,True,6,standard,U2-S9-N6,B,True/False Talking Point,mixed_card_statements,interleave_review,minor_swords_ace,1,n/a,True/False statements drawn from the new card plus recently taught cards
64,2,9,1,minor_swords_ace,Ace of Swords,minor,True,7,standard,U2-S9-N7,C,Board Matching,tile_grid,interleave_review,minor_swords_ace|major_06_lovers,2,n/a,"Closing review: new card tiled against recently taught cards, grid grows over the course"
65,2,10,2,major_08_strength,Strength,major,True,1,standard,U2-S10-N1,A1,Choose Card From Keywords,keywords,isolation,major_08_strength|major_12_hanged_man|major_16_tower|major_18_moon,1,easy,First exposure: full keyword list -> card art
66,2,10,2,major_08_strength,Strength,major,True,2,standard,U2-S10-N2,A2,Choose Meaning From Card,card_art_to_description_condensed,isolation,major_08_strength|major_12_hanged_man|major_16_tower|major_18_moon,1,easy,Reverse direction: card art -> matching description
67,2,10,2,major_08_strength,Strength,major,True,3,standard,U2-S10-N3,A7,Symbol Selection From Label,label_to_symbol_icon,isolation,major_08_strength,1,easy,New symbol taught: Zodiac Sign - Leo
68,2,10,2,major_08_strength,Strength,major,True,4,standard,U2-S10-N4,A2,Choose Meaning From Card,collated_talking_points,near_context,major_08_strength|minor_swords_ace|major_12_hanged_man|major_16_tower,1,easy_plus_one_known,Third text form of the same new card; distractor pool starts folding in one known card once available
69,2,10,2,major_08_strength,Strength,major,True,5,standard,U2-S10-N5,A3,Major/Minor Arcana ID,card_art_grid,standing_skill,major_08_strength,1,n/a,"Major/Minor sorting - visual/structural skill, recurs unchanged every section"
70,2,10,2,major_08_strength,Strength,major,True,6,standard,U2-S10-N6,B,True/False Talking Point,mixed_card_statements,interleave_review,major_08_strength,1,n/a,True/False statements drawn from the new card plus recently taught cards
71,2,10,2,major_08_strength,Strength,major,True,7,standard,U2-S10-N7,C,Board Matching,tile_grid,interleave_review,major_08_strength|minor_swords_ace,2,n/a,"Closing review: new card tiled against recently taught cards, grid grows over the course"
72,2,11,3,major_11_justice,Justice,major,True,1,standard,U2-S11-N1,A1,Choose Card From Keywords,keywords,isolation,major_11_justice|major_12_hanged_man|major_16_tower|major_18_moon,1,easy,First exposure: full keyword list -> card art
73,2,11,3,major_11_justice,Justice,major,True,2,standard,U2-S11-N2,A2,Choose Meaning From Card,card_art_to_description_condensed,isolation,major_11_justice|major_12_hanged_man|major_16_tower|major_18_moon,1,easy,Reverse direction: card art -> matching description
74,2,11,3,major_11_justice,Justice,major,True,3,standard,U2-S11-N3,A4,Symbol Identification,card_art_to_symbol_name,isolation,major_11_justice,1,easy,New symbol taught: Zodiac Sign - Libra
75,2,11,3,major_11_justice,Justice,major,True,4,standard,U2-S11-N4,A2,Choose Meaning From Card,collated_talking_points,near_context,major_11_justice|major_08_strength|major_12_hanged_man|major_16_tower,1,easy_plus_one_known,Third text form of the same new card; distractor pool starts folding in one known card once available
76,2,11,3,major_11_justice,Justice,major,True,5,standard,U2-S11-N5,A3,Major/Minor Arcana ID,card_art_grid,standing_skill,major_11_justice|major_08_strength,2,n/a,"Major/Minor sorting - visual/structural skill, recurs unchanged every section"
77,2,11,3,major_11_justice,Justice,major,True,6,standard,U2-S11-N6,B,True/False Talking Point,mixed_card_statements,interleave_review,major_11_justice,1,n/a,True/False statements drawn from the new card plus recently taught cards
78,2,11,3,major_11_justice,Justice,major,True,7,standard,U2-S11-N7,C,Board Matching,tile_grid,interleave_review,major_11_justice|major_08_strength,2,n/a,"Closing review: new card tiled against recently taught cards, grid grows over the course"
79,2,12,4,major_19_sun,The Sun,major,True,1,standard,U2-S12-N1,A1,Choose Card From Keywords,keywords,isolation,major_19_sun|major_12_hanged_man|major_18_moon|minor_swords_08,1,easy,First exposure: full keyword list -> card art
80,2,12,4,major_19_sun,The Sun,major,True,2,standard,U2-S12-N2,A2,Choose Meaning From Card,card_art_to_description_condensed,isolation,major_19_sun|major_12_hanged_man|major_18_moon|minor_swords_08,1,easy,Reverse direction: card art -> matching description
81,2,12,4,major_19_sun,The Sun,major,True,3,standard,U2-S12-N3,A5,Symbol Meaning Match,meaning_phrase_to_symbol,isolation,major_19_sun,1,easy,New symbol taught: Planet - Sun
82,2,12,4,major_19_sun,The Sun,major,True,4,standard,U2-S12-N4,A2,Choose Meaning From Card,collated_talking_points,near_context,major_19_sun|major_11_justice|major_12_hanged_man|major_18_moon,1,easy_plus_one_known,Third text form of the same new card; distractor pool starts folding in one known card once available
83,2,12,4,major_19_sun,The Sun,major,True,5,standard,U2-S12-N5,A3,Major/Minor Arcana ID,card_art_grid,standing_skill,major_19_sun|major_11_justice,2,n/a,"Major/Minor sorting - visual/structural skill, recurs unchanged every section"
84,2,12,4,major_19_sun,The Sun,major,True,6,standard,U2-S12-N6,B,True/False Talking Point,mixed_card_statements,interleave_review,major_19_sun,1,n/a,True/False statements drawn from the new card plus recently taught cards
85,2,12,4,major_19_sun,The Sun,major,True,7,standard,U2-S12-N7,C,Board Matching,tile_grid,interleave_review,major_19_sun|major_11_justice,2,n/a,"Closing review: new card tiled against recently taught cards, grid grows over the course"
86,2,12,4,major_19_sun,The Sun,major,False,8,throwback,U2-S12-THROWBACK-N8,B,True/False Talking Point,mixed_card_statements,throwback_review,major_00_fool|minor_cups_ace|major_01_magician,3,n/a,"Deliberately NOT recency-biased: pulls the 3 cards least recently seen (gap of 8-10 sections since last exposure), independent of the new card"
87,2,13,5,minor_cups_page,Page of Cups,minor,False,1,standard,U2-S13-N1,A1,Choose Card From Keywords,keywords,isolation,minor_cups_page|major_16_tower|major_07_chariot|major_12_hanged_man,1,easy,First exposure: full keyword list -> card art
88,2,13,5,minor_cups_page,Page of Cups,minor,False,2,standard,U2-S13-N2,A2,Choose Meaning From Card,card_art_to_description_condensed,isolation,minor_cups_page|major_16_tower|major_07_chariot|major_12_hanged_man,1,easy,Reverse direction: card art -> matching description
89,2,13,5,minor_cups_page,Page of Cups,minor,False,3,standard,U2-S13-N3,A1,Choose Card From Keywords,description_anonymized,isolation,minor_cups_page|major_16_tower|major_07_chariot|major_12_hanged_man,1,easy,Second anchor variant of the same new card (no new symbol this section)
90,2,13,5,minor_cups_page,Page of Cups,minor,False,4,standard,U2-S13-N4,A2,Choose Meaning From Card,collated_talking_points,near_context,minor_cups_page|major_19_sun|major_16_tower|major_07_chariot,1,easy_plus_one_known,Third text form of the same new card; distractor pool starts folding in one known card once available
91,2,13,5,minor_cups_page,Page of Cups,minor,False,5,standard,U2-S13-N5,A3,Major/Minor Arcana ID,card_art_grid,standing_skill,minor_cups_page|major_19_sun,2,n/a,"Major/Minor sorting - visual/structural skill, recurs unchanged every section"
92,2,13,5,minor_cups_page,Page of Cups,minor,False,6,standard,U2-S13-N6,B,True/False Talking Point,mixed_card_statements,interleave_review,minor_cups_page,1,n/a,True/False statements drawn from the new card plus recently taught cards
93,2,13,5,minor_cups_page,Page of Cups,minor,False,7,standard,U2-S13-N7,C,Board Matching,tile_grid,interleave_review,minor_cups_page|major_19_sun,2,n/a,"Closing review: new card tiled against recently taught cards, grid grows over the course"
94,2,14,6,minor_cups_knight,Knight of Cups,minor,False,1,standard,U2-S14-N1,A1,Choose Card From Keywords,keywords,isolation,minor_cups_knight|major_09_hermit|major_02_high_priestess|minor_pentacles_09,1,easy,First exposure: full keyword list -> card art
95,2,14,6,minor_cups_knight,Knight of Cups,minor,False,2,standard,U2-S14-N2,A2,Choose Meaning From Card,card_art_to_description_condensed,isolation,minor_cups_knight|major_09_hermit|major_02_high_priestess|minor_pentacles_09,1,easy,Reverse direction: card art -> matching description
96,2,14,6,minor_cups_knight,Knight of Cups,minor,False,3,standard,U2-S14-N3,A1,Choose Card From Keywords,description_anonymized,isolation,minor_cups_knight|major_09_hermit|major_02_high_priestess|minor_pentacles_09,1,easy,Second anchor variant of the same new card (no new symbol this section)
97,2,14,6,minor_cups_knight,Knight of Cups,minor,False,4,standard,U2-S14-N4,A2,Choose Meaning From Card,collated_talking_points,near_context,minor_cups_knight|minor_cups_page|major_09_hermit|major_02_high_priestess,1,easy_plus_one_known,Third text form of the same new card; distractor pool starts folding in one known card once available
98,2,14,6,minor_cups_knight,Knight of Cups,minor,False,5,standard,U2-S14-N5,A3,Major/Minor Arcana ID,card_art_grid,standing_skill,minor_cups_knight|minor_cups_page,2,n/a,"Major/Minor sorting - visual/structural skill, recurs unchanged every section"
99,2,14,6,minor_cups_knight,Knight of Cups,minor,False,6,standard,U2-S14-N6,B,True/False Talking Point,mixed_card_statements,interleave_review,minor_cups_knight,1,n/a,True/False statements drawn from the new card plus recently taught cards
100,2,14,6,minor_cups_knight,Knight of Cups,minor,False,7,standard,U2-S14-N7,C,Board Matching,tile_grid,interleave_review,minor_cups_knight|minor_cups_page|major_19_sun,3,n/a,"Closing review: new card tiled against recently taught cards, grid grows over the course"
101,2,15,7,minor_cups_queen,Queen of Cups,minor,False,1,standard,U2-S15-N1,A1,Choose Card From Keywords,keywords,isolation,minor_cups_queen|major_16_tower|major_07_chariot|minor_swords_05,1,easy,First exposure: full keyword list -> card art
102,2,15,7,minor_cups_queen,Queen of Cups,minor,False,2,standard,U2-S15-N2,A2,Choose Meaning From Card,card_art_to_description_condensed,isolation,minor_cups_queen|major_16_tower|major_07_chariot|minor_swords_05,1,easy,Reverse direction: card art -> matching description
103,2,15,7,minor_cups_queen,Queen of Cups,minor,False,3,standard,U2-S15-N3,A1,Choose Card From Keywords,description_anonymized,isolation,minor_cups_queen|major_16_tower|major_07_chariot|minor_swords_05,1,easy,Second anchor variant of the same new card (no new symbol this section)
104,2,15,7,minor_cups_queen,Queen of Cups,minor,False,4,standard,U2-S15-N4,A2,Choose Meaning From Card,collated_talking_points,near_context,minor_cups_queen|minor_cups_knight|major_16_tower|major_07_chariot,1,easy_plus_one_known,Third text form of the same new card; distractor pool starts folding in one known card once available
105,2,15,7,minor_cups_queen,Queen of Cups,minor,False,5,standard,U2-S15-N5,A3,Major/Minor Arcana ID,card_art_grid,standing_skill,minor_cups_queen|minor_cups_knight,2,n/a,"Major/Minor sorting - visual/structural skill, recurs unchanged every section"
106,2,15,7,minor_cups_queen,Queen of Cups,minor,False,6,standard,U2-S15-N6,B,True/False Talking Point,mixed_card_statements,interleave_review,minor_cups_queen,1,n/a,True/False statements drawn from the new card plus recently taught cards
107,2,15,7,minor_cups_queen,Queen of Cups,minor,False,7,standard,U2-S15-N7,C,Board Matching,tile_grid,interleave_review,minor_cups_queen|minor_cups_knight|minor_cups_page,3,n/a,"Closing review: new card tiled against recently taught cards, grid grows over the course"
108,2,16,8,minor_cups_king,King of Cups,minor,False,1,standard,U2-S16-N1,A1,Choose Card From Keywords,keywords,isolation,minor_cups_king|major_16_tower|major_00_fool|major_07_chariot,1,easy,First exposure: full keyword list -> card art
109,2,16,8,minor_cups_king,King of Cups,minor,False,2,standard,U2-S16-N2,A2,Choose Meaning From Card,card_art_to_description_condensed,isolation,minor_cups_king|major_16_tower|major_00_fool|major_07_chariot,1,easy,Reverse direction: card art -> matching description
110,2,16,8,minor_cups_king,King of Cups,minor,False,3,standard,U2-S16-N3,A1,Choose Card From Keywords,description_anonymized,isolation,minor_cups_king|major_16_tower|major_00_fool|major_07_chariot,1,easy,Second anchor variant of the same new card (no new symbol this section)
111,2,16,8,minor_cups_king,King of Cups,minor,False,4,standard,U2-S16-N4,A2,Choose Meaning From Card,collated_talking_points,near_context,minor_cups_king|minor_cups_queen|major_16_tower|major_00_fool,1,easy_plus_one_known,Third text form of the same new card; distractor pool starts folding in one known card once available
112,2,16,8,minor_cups_king,King of Cups,minor,False,5,standard,U2-S16-N5,A3,Major/Minor Arcana ID,card_art_grid,standing_skill,minor_cups_king|minor_cups_queen,2,n/a,"Major/Minor sorting - visual/structural skill, recurs unchanged every section"
113,2,16,8,minor_cups_king,King of Cups,minor,False,6,standard,U2-S16-N6,B,True/False Talking Point,mixed_card_statements,interleave_review,minor_cups_king|minor_cups_queen,2,n/a,True/False statements drawn from the new card plus recently taught cards
114,2,16,8,minor_cups_king,King of Cups,minor,False,7,standard,U2-S16-N7,C,Board Matching,tile_grid,interleave_review,minor_cups_king|minor_cups_queen|minor_cups_knight,3,n/a,"Closing review: new card tiled against recently taught cards, grid grows over the course"
115,2,16,8,minor_cups_king,King of Cups,minor,False,8,throwback,U2-S16-THROWBACK-N8,C,Board Matching,tile_grid,throwback_review,minor_wands_ace|major_03_empress|major_04_emperor,3,n/a,"Deliberately NOT recency-biased: pulls the 3 cards least recently seen (gap of 9-11 sections since last exposure), independent of the new card"
116,2,16,RECAP,,Unit 2 Recap,mixed,False,1,unit_recap,U2-S16-UNIT_RECAP-N1,C,Board Matching,tile_grid,unit_recap,minor_swords_ace|major_08_strength|major_11_justice|major_19_sun|minor_cups_page|minor_cups_knight|minor_cups_queen|minor_cups_king,8,n/a,"End-of-unit checkpoint: boards every card from Unit 2 against each other, no new card introduced"
