card_key,card_name,keyword_order,keyword,source
minor_cups_06,Six of Cups,3,memories of a happy past,guidebook
minor_cups_06,Six of Cups,4,return to the past,guidebook
minor_cups_07,Seven of Cups,1,illusion,guidebook
minor_cups_07,Seven of Cups,2,choice,guidebook
minor_cups_07,Seven of Cups,3,daydreaming,guidebook
minor_cups_07,Seven of Cups,4,strength of desire,guidebook
minor_cups_08,Eight of Cups,1,leaving certainty behind,guidebook
minor_cups_08,Eight of Cups,2,exploration,guidebook
minor_cups_08,Eight of Cups,3,entering unknown territory,guidebook
minor_cups_09,Nine of Cups,1,fulfilled desire,guidebook
minor_cups_09,Nine of Cups,2,waiting happily,guidebook
minor_cups_10,Ten of Cups,1,emotional satisfaction,guidebook
minor_cups_10,Ten of Cups,2,joy,guidebook
minor_cups_10,Ten of Cups,3,daily happiness,guidebook
minor_cups_page,Page of Cups,1,falling in love,guidebook
minor_cups_page,Page of Cups,2,blossoming love,guidebook
minor_cups_page,Page of Cups,3,openness of the heart,guidebook
minor_cups_knight,Knight of Cups,1,romantic love,guidebook
minor_cups_knight,Knight of Cups,2,great passion,guidebook
minor_cups_knight,Knight of Cups,3,instability,guidebook
minor_cups_knight,Knight of Cups,4,artistic temperament,guidebook
minor_swords_02,Two of Swords,1,inner search,guidebook
minor_swords_02,Two of Swords,2,harmony,guidebook
minor_swords_02,Two of Swords,3,individual thought,guidebook
minor_swords_02,Two of Swords,4,recollection,guidebook
minor_swords_03,Three of Swords,1,break,guidebook
minor_swords_03,Three of Swords,2,separation,guidebook
minor_swords_03,Three of Swords,3,difficulty,guidebook
minor_swords_03,Three of Swords,4,possibility of integration,guidebook
minor_swords_03,Three of Swords,5,awareness,guidebook
minor_swords_04,Four of Swords,1,recovery of energy,guidebook
minor_swords_04,Four of Swords,2,rest,guidebook
minor_swords_04,Four of Swords,3,awareness,guidebook
minor_swords_04,Four of Swords,4,compromise,guidebook
minor_swords_04,Four of Swords,5,meditation,guidebook
minor_swords_05,Five of Swords,1,victory and defeat,guidebook
minor_swords_05,Five of Swords,2,challenge,guidebook
minor_swords_05,Five of Swords,3,break from convention,guidebook
minor_swords_05,Five of Swords,4,crisis,guidebook
minor_swords_05,Five of Swords,5,maintaining hope,guidebook
minor_swords_06,Six of Swords,1,transition,guidebook
minor_swords_06,Six of Swords,2,journey,guidebook
minor_swords_06,Six of Swords,3,openness,guidebook
minor_swords_06,Six of Swords,4,change of perspective,guidebook
minor_swords_07,Seven of Swords,1,acting in secret,guidebook
minor_swords_07,Seven of Swords,2,cunning,guidebook
minor_swords_07,Seven of Swords,3,intelligence,guidebook
minor_swords_07,Seven of Swords,4,inner communication,guidebook
minor_swords_08,Eight of Swords,1,overthinking,guidebook
minor_swords_08,Eight of Swords,2,inner obstruction we cause ourselves,guidebook
minor_swords_08,Eight of Swords,3,need to lighten up,guidebook
minor_swords_09,Nine of Swords,1,nightmare,guidebook
minor_swords_09,Nine of Swords,2,passion vs. rationality,guidebook
minor_swords_09,Nine of Swords,3,need to take stock of the situation,guidebook
minor_swords_10,Ten of Swords,1,end,guidebook
minor_swords_10,Ten of Swords,2,end of a cycle,guidebook
minor_swords_10,Ten of Swords,3,conclusion,guidebook
minor_swords_page,Page of Swords,1,thought,guidebook
minor_swords_page,Page of Swords,2,speed,guidebook
minor_swords_page,Page of Swords,3,the mind,guidebook
minor_swords_page,Page of Swords,4,arriving message,guidebook
minor_swords_knight,Knight of Swords,1,mental quickness,guidebook
minor_swords_knight,Knight of Swords,2,intelligence,guidebook
minor_swords_knight,Knight of Swords,3,the thinker,guidebook
minor_swords_queen,Queen of Swords,1,irony,guidebook
minor_swords_queen,Queen of Swords,2,clear vision,guidebook
minor_swords_queen,Queen of Swords,3,wisdom,guidebook
minor_swords_queen,Queen of Swords,4,intellectual honesty,guidebook
minor_swords_king,King of Swords,1,overall vision,guidebook
minor_swords_king,King of Swords,2,alternative solutions,guidebook
minor_swords_king,King of Swords,3,strategy,guidebook
minor_pentacles_ace,Ace of Pentacles,1,seed,guidebook
minor_pentacles_ace,Ace of Pentacles,2,planning,guidebook
minor_pentacles_ace,Ace of Pentacles,3,beginning linked to the world of material goods,guidebook
minor_pentacles_02,Two of Pentacles,1,daily balance,guidebook
minor_pentacles_02,Two of Pentacles,2,ability to juggle,guidebook
minor_pentacles_02,Two of Pentacles,3,small chores,guidebook
minor_pentacles_03,Three of Pentacles,1,teamwork,guidebook
minor_pentacles_03,Three of Pentacles,2,focus,guidebook
minor_pentacles_03,Three of Pentacles,3,construction,guidebook
minor_pentacles_03,Three of Pentacles,4,and working toward a common project,guidebook
minor_pentacles_04,Four of Pentacles,1,personal structure,guidebook
minor_pentacles_04,Four of Pentacles,2,protection,guidebook
minor_pentacles_04,Four of Pentacles,3,possible rigidity,guidebook
minor_pentacles_05,Five of Pentacles,1,difficulty,guidebook
minor_pentacles_05,Five of Pentacles,2,misery,guidebook
minor_pentacles_05,Five of Pentacles,3,need to ask for help,guidebook
minor_pentacles_06,Six of Pentacles,1,generosity,guidebook
minor_pentacles_06,Six of Pentacles,2,exchange,guidebook
minor_pentacles_06,Six of Pentacles,3,need,guidebook
minor_pentacles_06,Six of Pentacles,4,ability to receive,guidebook
minor_pentacles_07,Seven of Pentacles,1,waiting,guidebook
minor_pentacles_07,Seven of Pentacles,2,gestation,guidebook
minor_pentacles_07,Seven of Pentacles,3,pause that brings nourishment,guidebook
minor_pentacles_08,Eight of Pentacles,1,study,guidebook
minor_pentacles_08,Eight of Pentacles,2,attention to detail,guidebook
minor_pentacles_08,Eight of Pentacles,3,ability to concentrate,guidebook
minor_pentacles_08,Eight of Pentacles,4,apprentice,guidebook
minor_pentacles_09,Nine of Pentacles,1,independence,guidebook
minor_pentacles_09,Nine of Pentacles,2,enjoying the fruits of one's labor,guidebook
minor_pentacles_09,Nine of Pentacles,3,abundance,guidebook
minor_pentacles_09,Nine of Pentacles,4,refinement,guidebook
minor_pentacles_10,Ten of Pentacles,1,wealth,guidebook
minor_pentacles_10,Ten of Pentacles,2,abundance,guidebook
minor_pentacles_10,Ten of Pentacles,3,generosity,guidebook
minor_pentacles_10,Ten of Pentacles,4,wonder in everyday life,guidebook
minor_pentacles_page,Page of Pentacles,1,student,guidebook
minor_pentacles_page,Page of Pentacles,2,apprentice,guidebook
minor_pentacles_page,Page of Pentacles,3,creative process,guidebook
minor_pentacles_page,Page of Pentacles,4,curiosity,guidebook
minor_pentacles_knight,Knight of Pentacles,1,determination,guidebook
minor_pentacles_knight,Knight of Pentacles,2,dedication,guidebook
minor_pentacles_knight,Knight of Pentacles,3,perseverance,guidebook
minor_pentacles_knight,Knight of Pentacles,4,willpower,guidebook
minor_pentacles_queen,Queen of Pentacles,1,nurturing,guidebook
minor_pentacles_queen,Queen of Pentacles,2,creative capacity,guidebook
minor_pentacles_queen,Queen of Pentacles,3,self-care,guidebook
minor_pentacles_queen,Queen of Pentacles,4,sensory,guidebook
minor_pentacles_king,King of Pentacles,1,innate generosity,guidebook
minor_pentacles_king,King of Pentacles,2,abundance,guidebook
minor_pentacles_king,King of Pentacles,3,personal satisfaction,guidebook
minor_pentacles_king,King of Pentacles,4,charisma,guidebook
minor_cups_king,King of Cups,1,power of imagination,guidebook
minor_cups_king,King of Cups,2,listening,guidebook
minor_cups_king,King of Cups,3,healing,guidebook
minor_cups_queen,Queen of Cups,1,unconditional love,proposed
minor_cups_queen,Queen of Cups,2,sensitivity,proposed
minor_cups_queen,Queen of Cups,3,empathy,proposed
minor_cups_queen,Queen of Cups,4,emotional healing,proposed
minor_swords_ace,Ace of Swords,1,clarity,proposed
minor_swords_ace,Ace of Swords,2,illumination,proposed
minor_swords_ace,Ace of Swords,3,discernment,proposed
minor_swords_ace,Ace of Swords,4,truth,proposed
