card_key_a,card_key_b,mean_abs_diff,similarity_score,difficulty_tier
major_01_magician,major_19_sun,1.333,1,Hard
major_01_magician,major_20_judgment,2.0,3,Easy
major_01_magician,major_21_world,1.833,2,Medium
major_01_magician,minor_wands_ace,1.833,2,Medium
major_01_magician,minor_wands_02,1.0,1,Hard
major_01_magician,minor_wands_03,0.833,1,Hard
major_01_magician,minor_wands_04,1.167,1,Hard
major_01_magician,minor_wands_05,1.833,2,Medium
major_01_magician,minor_wands_06,0.667,1,Hard
major_01_magician,minor_wands_07,1.5,2,Medium
major_01_magician,minor_wands_08,1.333,1,Hard
major_01_magician,minor_wands_09,2.333,3,Easy
major_01_magician,minor_wands_10,1.833,2,Medium
major_01_magician,minor_wands_page,1.5,2,Medium
major_01_magician,minor_wands_knight,2.0,3,Easy
major_01_magician,minor_wands_queen,0.833,1,Hard
major_01_magician,minor_wands_king,1.0,1,Hard
major_01_magician,minor_cups_ace,1.667,2,Medium
major_01_magician,minor_cups_02,1.333,1,Hard
major_01_magician,minor_cups_03,1.333,1,Hard
major_01_magician,minor_cups_04,2.833,3,Easy
major_01_magician,minor_cups_05,3.0,3,Easy
major_01_magician,minor_cups_06,2.0,3,Easy
major_01_magician,minor_cups_07,2.5,3,Easy
major_01_magician,minor_cups_08,2.5,3,Easy
major_01_magician,minor_cups_09,1.667,2,Medium
major_01_magician,minor_cups_10,1.833,2,Medium
major_01_magician,minor_cups_page,1.667,2,Medium
major_01_magician,minor_cups_knight,2.0,3,Easy
major_01_magician,minor_cups_queen,2.167,3,Easy
major_01_magician,minor_cups_king,1.833,2,Medium
major_01_magician,minor_swords_ace,1.0,1,Hard
major_01_magician,minor_swords_02,2.5,3,Easy
major_01_magician,minor_swords_03,2.833,3,Easy
major_01_magician,minor_swords_04,2.5,3,Easy
major_01_magician,minor_swords_05,2.167,3,Easy
major_01_magician,minor_swords_06,1.5,2,Medium
major_01_magician,minor_swords_07,1.833,2,Medium
major_01_magician,minor_swords_08,3.667,3,Easy
major_01_magician,minor_swords_09,3.667,3,Easy
major_01_magician,minor_swords_10,3.333,3,Easy
major_01_magician,minor_swords_page,1.0,1,Hard
major_01_magician,minor_swords_knight,1.167,1,Hard
major_01_magician,minor_swords_queen,1.667,2,Medium
major_01_magician,minor_swords_king,1.167,1,Hard
major_01_magician,minor_pentacles_ace,1.167,1,Hard
major_01_magician,minor_pentacles_02,1.5,2,Medium
major_01_magician,minor_pentacles_03,0.833,1,Hard
major_01_magician,minor_pentacles_04,1.667,2,Medium
major_01_magician,minor_pentacles_05,3.0,3,Easy
major_01_magician,minor_pentacles_06,1.5,2,Medium
major_01_magician,minor_pentacles_07,2.167,3,Easy
major_01_magician,minor_pentacles_08,1.5,2,Medium
major_01_magician,minor_pentacles_09,2.0,3,Easy
major_01_magician,minor_pentacles_10,1.333,1,Hard
major_01_magician,minor_pentacles_page,1.667,2,Medium
major_01_magician,minor_pentacles_knight,1.667,2,Medium
major_01_magician,minor_pentacles_queen,1.5,2,Medium
major_01_magician,minor_pentacles_king,1.167,1,Hard
major_02_high_priestess,major_00_fool,2.5,3,Easy
major_02_high_priestess,major_01_magician,3.167,3,Easy
major_02_high_priestess,major_03_empress,2.667,3,Easy
major_02_high_priestess,major_04_emperor,3.333,3,Easy
major_02_high_priestess,major_05_hierophant,2.333,3,Easy
major_02_high_priestess,major_06_lovers,3.167,3,Easy
major_02_high_priestess,major_07_chariot,3.5,3,Easy
major_02_high_priestess,major_08_strength,2.333,3,Easy
major_02_high_priestess,major_09_hermit,1.0,1,Hard
major_02_high_priestess,major_10_wheel_of_fortune,2.167,3,Easy
major_02_high_priestess,major_11_justice,2.667,3,Easy
major_02_high_priestess,major_12_hanged_man,1.167,1,Hard
major_02_high_priestess,major_13_death,2.167,3,Easy
major_02_high_priestess,major_14_temperance,1.333,1,Hard
major_02_high_priestess,major_15_devil,2.0,3,Easy
major_02_high_priestess,major_16_tower,3.5,3,Easy
major_02_high_priestess,major_17_star,1.667,2,Medium
major_02_high_priestess,major_18_moon,1.167,1,Hard
major_02_high_priestess,major_19_sun,3.167,3,Easy
major_02_high_priestess,major_20_judgment,2.167,3,Easy
major_02_high_priestess,major_21_world,2.333,3,Easy
major_02_high_priestess,minor_wands_ace,2.667,3,Easy
major_02_high_priestess,minor_wands_02,2.833,3,Easy
major_02_high_priestess,minor_wands_03,2.667,3,Easy
major_02_high_priestess,minor_wands_04,2.667,3,Easy
major_02_high_priestess,minor_wands_05,3.0,3,Easy
major_02_high_priestess,minor_wands_06,2.833,3,Easy
major_02_high_priestess,minor_wands_07,3.0,3,Easy
major_02_high_priestess,minor_wands_08,2.167,3,Easy
major_02_high_priestess,minor_wands_09,1.833,2,Medium
major_02_high_priestess,minor_wands_10,3.0,3,Easy
major_02_high_priestess,minor_wands_page,2.333,3,Easy
major_02_high_priestess,minor_wands_knight,2.833,3,Easy
major_02_high_priestess,minor_wands_queen,2.667,3,Easy
major_02_high_priestess,minor_wands_king,3.167,3,Easy
major_02_high_priestess,minor_cups_ace,1.833,2,Medium
major_02_high_priestess,minor_cups_02,2.5,3,Easy
major_02_high_priestess,minor_cups_03,2.5,3,Easy
major_02_high_priestess,minor_cups_04,1.333,1,Hard
major_02_high_priestess,minor_cups_05,2.167,3,Easy
major_02_high_priestess,minor_cups_06,1.5,2,Medium
major_02_high_priestess,minor_cups_07,1.667,2,Medium
major_02_high_priestess,minor_cups_08,2.333,3,Easy
major_02_high_priestess,minor_cups_09,1.833,2,Medium
major_02_high_priestess,minor_cups_10,2.333,3,Easy
major_02_high_priestess,minor_cups_page,2.167,3,Easy
major_02_high_priestess,minor_cups_knight,2.833,3,Easy
major_02_high_priestess,minor_cups_queen,2.0,3,Easy
major_02_high_priestess,minor_cups_king,2.0,3,Easy
major_02_high_priestess,minor_swords_ace,2.5,3,Easy
major_02_high_priestess,minor_swords_02,1.333,1,Hard
major_02_high_priestess,minor_swords_03,2.333,3,Easy
major_02_high_priestess,minor_swords_04,1.0,1,Hard
major_02_high_priestess,minor_swords_05,3.333,3,Easy
major_02_high_priestess,minor_swords_06,2.333,3,Easy
major_02_high_priestess,minor_swords_07,2.333,3,Easy
major_02_high_priestess,minor_swords_08,1.167,1,Hard
major_02_high_priestess,minor_swords_09,1.5,2,Medium
major_02_high_priestess,minor_swords_10,1.833,2,Medium
major_02_high_priestess,minor_swords_page,2.5,3,Easy
major_02_high_priestess,minor_swords_knight,3.0,3,Easy
major_02_high_priestess,minor_swords_queen,2.167,3,Easy
major_02_high_priestess,minor_swords_king,2.667,3,Easy
major_02_high_priestess,minor_pentacles_ace,2.333,3,Easy
major_02_high_priestess,minor_pentacles_02,3.0,3,Easy
major_02_high_priestess,minor_pentacles_03,3.0,3,Easy
major_02_high_priestess,minor_pentacles_04,2.5,3,Easy
major_02_high_priestess,minor_pentacles_05,2.833,3,Easy
major_02_high_priestess,minor_pentacles_06,2.667,3,Easy
major_02_high_priestess,minor_pentacles_07,1.667,2,Medium
major_02_high_priestess,minor_pentacles_08,2.0,3,Easy
major_02_high_priestess,minor_pentacles_09,1.5,2,Medium
major_02_high_priestess,minor_pentacles_10,2.5,3,Easy
major_02_high_priestess,minor_pentacles_page,2.167,3,Easy
major_02_high_priestess,minor_pentacles_knight,2.5,3,Easy
major_02_high_priestess,minor_pentacles_queen,2.333,3,Easy
major_02_high_priestess,minor_pentacles_king,2.333,3,Easy
major_03_empress,major_00_fool,2.167,3,Easy
major_03_empress,major_01_magician,1.833,2,Medium
major_03_empress,major_02_high_priestess,2.667,3,Easy
major_03_empress,major_04_emperor,2.333,3,Easy
major_03_empress,major_05_hierophant,1.667,2,Medium
major_03_empress,major_06_lovers,1.833,2,Medium
major_03_empress,major_07_chariot,2.833,3,Easy
major_03_empress,major_08_strength,1.333,1,Hard
major_03_empress,major_09_hermit,3.0,3,Easy
major_03_empress,major_10_wheel_of_fortune,2.167,3,Easy
major_03_empress,major_11_justice,1.667,2,Medium
major_03_empress,major_12_hanged_man,3.5,3,Easy
major_03_empress,major_13_death,2.833,3,Easy
major_03_empress,major_14_temperance,1.667,2,Medium
major_03_empress,major_15_devil,2.0,3,Easy
major_03_empress,major_16_tower,3.167,3,Easy
major_03_empress,major_17_star,1.0,1,Hard
major_03_empress,major_18_moon,3.5,3,Easy
major_03_empress,major_19_sun,0.833,1,Hard
major_03_empress,major_20_judgment,1.833,2,Medium
major_03_empress,major_21_world,1.333,1,Hard
major_03_empress,minor_wands_ace,2.0,3,Easy
major_03_empress,minor_wands_02,1.833,2,Medium
major_03_empress,minor_wands_03,1.667,2,Medium
major_03_empress,minor_wands_04,0.667,1,Hard
major_03_empress,minor_wands_05,2.0,3,Easy
major_03_empress,minor_wands_06,1.167,1,Hard
major_03_empress,minor_wands_07,2.333,3,Easy
major_03_empress,minor_wands_08,1.5,2,Medium
major_03_empress,minor_wands_09,2.5,3,Easy
major_03_empress,minor_wands_10,2.333,3,Easy
major_03_empress,minor_wands_page,1.667,2,Medium
major_03_empress,minor_wands_knight,2.167,3,Easy
major_03_empress,minor_wands_queen,1.333,1,Hard
major_03_empress,minor_wands_king,1.167,1,Hard
major_03_empress,minor_cups_ace,0.833,1,Hard
major_03_empress,minor_cups_02,0.833,1,Hard
major_03_empress,minor_cups_03,0.833,1,Hard
major_03_empress,minor_cups_04,3.0,3,Easy
major_03_empress,minor_cups_05,2.833,3,Easy
major_03_empress,minor_cups_06,1.833,2,Medium
major_03_empress,minor_cups_07,2.333,3,Easy
major_03_empress,minor_cups_08,2.333,3,Easy
major_03_empress,minor_cups_09,1.5,2,Medium
major_03_empress,minor_cups_10,1.0,1,Hard
major_03_empress,minor_cups_page,1.167,1,Hard
major_03_empress,minor_cups_knight,1.5,2,Medium
major_03_empress,minor_cups_queen,1.333,1,Hard
major_03_empress,minor_cups_king,1.667,2,Medium
major_03_empress,minor_swords_ace,1.833,2,Medium
major_03_empress,minor_swords_02,3.0,3,Easy
major_03_empress,minor_swords_03,2.667,3,Easy
major_03_empress,minor_swords_04,2.333,3,Easy
major_03_empress,minor_swords_05,2.667,3,Easy
major_03_empress,minor_swords_06,1.667,2,Medium
major_03_empress,minor_swords_07,2.333,3,Easy
major_03_empress,minor_swords_08,3.5,3,Easy
major_03_empress,minor_swords_09,3.5,3,Easy
major_03_empress,minor_swords_10,3.167,3,Easy
major_03_empress,minor_swords_page,1.833,2,Medium
major_03_empress,minor_swords_knight,2.0,3,Easy
major_03_empress,minor_swords_queen,1.833,2,Medium
major_03_empress,minor_swords_king,1.667,2,Medium
major_03_empress,minor_pentacles_ace,1.333,1,Hard
major_03_empress,minor_pentacles_02,2.0,3,Easy
major_03_empress,minor_pentacles_03,1.333,1,Hard
major_03_empress,minor_pentacles_04,2.167,3,Easy
major_03_empress,minor_pentacles_05,2.833,3,Easy
major_03_empress,minor_pentacles_06,1.333,1,Hard
major_03_empress,minor_pentacles_07,2.0,3,Easy
major_03_empress,minor_pentacles_08,2.0,3,Easy
major_03_empress,minor_pentacles_09,1.833,2,Medium
major_03_empress,minor_pentacles_10,1.167,1,Hard
major_03_empress,minor_pentacles_page,1.833,2,Medium
major_03_empress,minor_pentacles_knight,2.167,3,Easy
major_03_empress,minor_pentacles_queen,1.0,1,Hard
major_03_empress,minor_pentacles_king,1.0,1,Hard
major_04_emperor,major_00_fool,2.167,3,Easy
major_04_emperor,major_01_magician,0.5,1,Hard
major_04_emperor,major_02_high_priestess,3.333,3,Easy
major_04_emperor,major_03_empress,2.333,3,Easy
major_04_emperor,major_05_hierophant,2.0,3,Easy
major_04_emperor,major_06_lovers,1.833,2,Medium
major_04_emperor,major_07_chariot,0.833,1,Hard
major_04_emperor,major_08_strength,1.333,1,Hard
major_04_emperor,major_09_hermit,2.667,3,Easy
major_04_emperor,major_10_wheel_of_fortune,1.833,2,Medium
major_04_emperor,major_11_justice,1.0,1,Hard
major_04_emperor,major_12_hanged_man,3.167,3,Easy
major_04_emperor,major_13_death,2.5,3,Easy
major_04_emperor,major_14_temperance,2.0,3,Easy
major_04_emperor,major_15_devil,2.333,3,Easy
major_04_emperor,major_16_tower,2.5,3,Easy
major_04_emperor,major_17_star,2.0,3,Easy
major_04_emperor,major_18_moon,3.167,3,Easy
major_04_emperor,major_19_sun,1.833,2,Medium
major_04_emperor,major_20_judgment,1.5,2,Medium
major_04_emperor,major_21_world,2.0,3,Easy
major_04_emperor,minor_wands_ace,1.667,2,Medium
major_04_emperor,minor_wands_02,0.5,1,Hard
major_04_emperor,minor_wands_03,0.667,1,Hard
major_04_emperor,minor_wands_04,1.667,2,Medium
major_04_emperor,minor_wands_05,1.667,2,Medium
major_04_emperor,minor_wands_06,1.167,1,Hard
major_04_emperor,minor_wands_07,1.0,1,Hard
major_04_emperor,minor_wands_08,1.167,1,Hard
major_04_emperor,minor_wands_09,1.833,2,Medium
major_04_emperor,minor_wands_10,1.333,1,Hard
major_04_emperor,minor_wands_page,1.333,1,Hard
major_04_emperor,minor_wands_knight,1.5,2,Medium
major_04_emperor,minor_wands_queen,1.0,1,Hard
major_04_emperor,minor_wands_king,1.167,1,Hard
major_04_emperor,minor_cups_ace,2.167,3,Easy
major_04_emperor,minor_cups_02,1.833,2,Medium
major_04_emperor,minor_cups_03,1.833,2,Medium
major_04_emperor,minor_cups_04,2.333,3,Easy
major_04_emperor,minor_cups_05,2.5,3,Easy
major_04_emperor,minor_cups_06,1.833,2,Medium
major_04_emperor,minor_cups_07,2.0,3,Easy
major_04_emperor,minor_cups_08,2.0,3,Easy
major_04_emperor,minor_cups_09,1.833,2,Medium
major_04_emperor,minor_cups_10,2.333,3,Easy
major_04_emperor,minor_cups_page,1.833,2,Medium
major_04_emperor,minor_cups_knight,1.833,2,Medium
major_04_emperor,minor_cups_queen,2.333,3,Easy
major_04_emperor,minor_cups_king,2.0,3,Easy
major_04_emperor,minor_swords_ace,0.833,1,Hard
major_04_emperor,minor_swords_02,2.0,3,Easy
major_04_emperor,minor_swords_03,2.333,3,Easy
major_04_emperor,minor_swords_04,2.333,3,Easy
major_04_emperor,minor_swords_05,1.667,2,Medium
major_04_emperor,minor_swords_06,1.0,1,Hard
major_04_emperor,minor_swords_07,1.333,1,Hard
major_04_emperor,minor_swords_08,3.167,3,Easy
major_04_emperor,minor_swords_09,3.167,3,Easy
major_04_emperor,minor_swords_10,2.833,3,Easy
major_04_emperor,minor_swords_page,0.833,1,Hard
major_04_emperor,minor_swords_knight,0.667,1,Hard
major_04_emperor,minor_swords_queen,1.167,1,Hard
major_04_emperor,minor_swords_king,0.667,1,Hard
major_04_emperor,minor_pentacles_ace,1.0,1,Hard
major_04_emperor,minor_pentacles_02,1.0,1,Hard
major_04_emperor,minor_pentacles_03,1.0,1,Hard
major_04_emperor,minor_pentacles_04,1.167,1,Hard
major_04_emperor,minor_pentacles_05,2.5,3,Easy
major_04_emperor,minor_pentacles_06,1.333,1,Hard
major_04_emperor,minor_pentacles_07,1.667,2,Medium
major_04_emperor,minor_pentacles_08,1.333,1,Hard
major_04_emperor,minor_pentacles_09,2.167,3,Easy
major_04_emperor,minor_pentacles_10,1.833,2,Medium
major_04_emperor,minor_pentacles_page,1.167,1,Hard
major_04_emperor,minor_pentacles_knight,1.167,1,Hard
major_04_emperor,minor_pentacles_queen,1.667,2,Medium
major_04_emperor,minor_pentacles_king,1.667,2,Medium
major_05_hierophant,major_00_fool,2.833,3,Easy
major_05_hierophant,major_01_magician,2.167,3,Easy
major_05_hierophant,major_02_high_priestess,2.333,3,Easy
major_05_hierophant,major_03_empress,1.667,2,Medium
major_05_hierophant,major_04_emperor,2.0,3,Easy
major_05_hierophant,major_06_lovers,1.167,1,Hard
major_05_hierophant,major_07_chariot,2.167,3,Easy
major_05_hierophant,major_08_strength,0.667,1,Hard
major_05_hierophant,major_09_hermit,2.0,3,Easy
major_05_hierophant,major_10_wheel_of_fortune,1.5,2,Medium
major_05_hierophant,major_11_justice,1.0,1,Hard
major_05_hierophant,major_12_hanged_man,2.167,3,Easy
major_05_hierophant,major_13_death,1.833,2,Medium
major_05_hierophant,major_14_temperance,1.0,1,Hard
major_05_hierophant,major_15_devil,0.667,1,Hard
major_05_hierophant,major_16_tower,2.833,3,Easy
major_05_hierophant,major_17_star,1.0,1,Hard
major_05_hierophant,major_18_moon,2.167,3,Easy
major_05_hierophant,major_19_sun,1.833,2,Medium
major_05_hierophant,major_20_judgment,1.5,2,Medium
major_05_hierophant,major_21_world,1.333,1,Hard
major_05_hierophant,minor_wands_ace,2.333,3,Easy
major_05_hierophant,minor_wands_02,1.5,2,Medium
major_05_hierophant,minor_wands_03,1.667,2,Medium
major_05_hierophant,minor_wands_04,1.333,1,Hard
major_05_hierophant,minor_wands_05,1.0,1,Hard
major_05_hierophant,minor_wands_06,1.5,2,Medium
major_05_hierophant,minor_wands_07,1.667,2,Medium
major_05_hierophant,minor_wands_08,1.5,2,Medium
major_05_hierophant,minor_wands_09,0.833,1,Hard
major_05_hierophant,minor_wands_10,1.333,1,Hard
major_05_hierophant,minor_wands_page,2.0,3,Easy
major_05_hierophant,minor_wands_knight,2.167,3,Easy
major_05_hierophant,minor_wands_queen,1.333,1,Hard
major_05_hierophant,minor_wands_king,1.5,2,Medium
major_05_hierophant,minor_cups_ace,1.167,1,Hard
major_05_hierophant,minor_cups_02,1.5,2,Medium
major_05_hierophant,minor_cups_03,1.5,2,Medium
major_05_hierophant,minor_cups_04,1.333,1,Hard
major_05_hierophant,minor_cups_05,1.5,2,Medium
major_05_hierophant,minor_cups_06,0.833,1,Hard
major_05_hierophant,minor_cups_07,1.333,1,Hard
major_05_hierophant,minor_cups_08,1.667,2,Medium
major_05_hierophant,minor_cups_09,0.833,1,Hard
major_05_hierophant,minor_cups_10,1.0,1,Hard
major_05_hierophant,minor_cups_page,1.167,1,Hard
major_05_hierophant,minor_cups_knight,1.833,2,Medium
major_05_hierophant,minor_cups_queen,1.333,1,Hard
major_05_hierophant,minor_cups_king,1.0,1,Hard
major_05_hierophant,minor_swords_ace,1.5,2,Medium
major_05_hierophant,minor_swords_02,1.667,2,Medium
major_05_hierophant,minor_swords_03,1.667,2,Medium
major_05_hierophant,minor_swords_04,1.333,1,Hard
major_05_hierophant,minor_swords_05,2.0,3,Easy
major_05_hierophant,minor_swords_06,1.0,1,Hard
major_05_hierophant,minor_swords_07,1.667,2,Medium
major_05_hierophant,minor_swords_08,2.167,3,Easy
major_05_hierophant,minor_swords_09,2.167,3,Easy
major_05_hierophant,minor_swords_10,1.833,2,Medium
major_05_hierophant,minor_swords_page,1.5,2,Medium
major_05_hierophant,minor_swords_knight,1.667,2,Medium
major_05_hierophant,minor_swords_queen,0.833,1,Hard
major_05_hierophant,minor_swords_king,1.333,1,Hard
major_05_hierophant,minor_pentacles_ace,1.333,1,Hard
major_05_hierophant,minor_pentacles_02,1.333,1,Hard
major_05_hierophant,minor_pentacles_03,1.667,2,Medium
major_05_hierophant,minor_pentacles_04,1.167,1,Hard
major_05_hierophant,minor_pentacles_05,1.833,2,Medium
major_05_hierophant,minor_pentacles_06,1.0,1,Hard
major_05_hierophant,minor_pentacles_07,0.667,1,Hard
major_05_hierophant,minor_pentacles_08,1.667,2,Medium
major_05_hierophant,minor_pentacles_09,1.167,1,Hard
major_05_hierophant,minor_pentacles_10,1.167,1,Hard
major_05_hierophant,minor_pentacles_page,0.833,1,Hard
major_05_hierophant,minor_pentacles_knight,0.833,1,Hard
major_05_hierophant,minor_pentacles_queen,1.0,1,Hard
major_05_hierophant,minor_pentacles_king,1.0,1,Hard
major_06_lovers,major_00_fool,2.667,3,Easy
major_06_lovers,major_01_magician,2.0,3,Easy
major_06_lovers,major_02_high_priestess,3.167,3,Easy
major_06_lovers,major_03_empress,1.833,2,Medium
major_06_lovers,major_04_emperor,1.833,2,Medium
major_06_lovers,major_05_hierophant,1.167,1,Hard
major_06_lovers,major_07_chariot,1.667,2,Medium
major_06_lovers,major_08_strength,1.5,2,Medium
major_06_lovers,major_09_hermit,2.5,3,Easy
major_06_lovers,major_10_wheel_of_fortune,1.333,1,Hard
major_06_lovers,major_11_justice,1.167,1,Hard
major_06_lovers,major_12_hanged_man,2.333,3,Easy
major_06_lovers,major_13_death,2.0,3,Easy
major_06_lovers,major_14_temperance,1.833,2,Medium
major_06_lovers,major_15_devil,1.5,2,Medium
major_06_lovers,major_16_tower,2.667,3,Easy
major_06_lovers,major_17_star,1.5,2,Medium
major_06_lovers,major_18_moon,2.333,3,Easy
major_06_lovers,major_19_sun,2.0,3,Easy
major_06_lovers,major_20_judgment,1.667,2,Medium
major_06_lovers,major_21_world,1.833,2,Medium
major_06_lovers,minor_wands_ace,2.167,3,Easy
major_06_lovers,minor_wands_02,1.333,1,Hard
major_06_lovers,minor_wands_03,1.5,2,Medium
major_06_lovers,minor_wands_04,1.5,2,Medium
major_06_lovers,minor_wands_05,1.167,1,Hard
major_06_lovers,minor_wands_06,2.0,3,Easy
major_06_lovers,minor_wands_07,1.167,1,Hard
major_06_lovers,minor_wands_08,2.0,3,Easy
major_06_lovers,minor_wands_09,1.333,1,Hard
major_06_lovers,minor_wands_10,1.167,1,Hard
major_06_lovers,minor_wands_page,1.833,2,Medium
major_06_lovers,minor_wands_knight,2.0,3,Easy
major_06_lovers,minor_wands_queen,1.5,2,Medium
major_06_lovers,minor_wands_king,1.667,2,Medium
major_06_lovers,minor_cups_ace,1.667,2,Medium
major_06_lovers,minor_cups_02,1.0,1,Hard
major_06_lovers,minor_cups_03,1.333,1,Hard
major_06_lovers,minor_cups_04,1.833,2,Medium
major_06_lovers,minor_cups_05,1.667,2,Medium
major_06_lovers,minor_cups_06,1.667,2,Medium
major_06_lovers,minor_cups_07,1.5,2,Medium
major_06_lovers,minor_cups_08,1.833,2,Medium
major_06_lovers,minor_cups_09,1.667,2,Medium
major_06_lovers,minor_cups_10,1.5,2,Medium
major_06_lovers,minor_cups_page,1.333,1,Hard
major_06_lovers,minor_cups_knight,1.333,1,Hard
major_06_lovers,minor_cups_queen,1.167,1,Hard
major_06_lovers,minor_cups_king,1.167,1,Hard
major_06_lovers,minor_swords_ace,1.667,2,Medium
major_06_lovers,minor_swords_02,1.833,2,Medium
major_06_lovers,minor_swords_03,1.833,2,Medium
major_06_lovers,minor_swords_04,2.167,3,Easy
major_06_lovers,minor_swords_05,1.5,2,Medium
major_06_lovers,minor_swords_06,1.5,2,Medium
major_06_lovers,minor_swords_07,1.5,2,Medium
major_06_lovers,minor_swords_08,2.333,3,Easy
major_06_lovers,minor_swords_09,2.333,3,Easy
major_06_lovers,minor_swords_10,2.0,3,Easy
major_06_lovers,minor_swords_page,1.667,2,Medium
major_06_lovers,minor_swords_knight,1.167,1,Hard
major_06_lovers,minor_swords_queen,1.333,1,Hard
major_06_lovers,minor_swords_king,1.5,2,Medium
major_06_lovers,minor_pentacles_ace,1.5,2,Medium
major_06_lovers,minor_pentacles_02,0.833,1,Hard
